Linc,Cm,Ofl,Tmp,Var5
400,0.1,28,0.03,0.80141
400,0.2,0,0,0.71205
400,0.2,28,0.06,0.68443
400,0.3,0,0,0.64499
400,0.3,28,0.09,0.6276
400,0.4,0,0,0.62632
400,0.4,28,0.12,0.55542
400,0.5,0,0,0.54579
400,0.5,28,0.15,0.51584
400,0.6,0,0,0.48522
400,0.6,28,0.18,0.49825
400,0.7,0,0,0.44877
400,0.7,28,0.21,0.51423
400,0.8,0,0,0.37239
400,0.8,28,0.24,0.41937
400,0.9,0,0,0.35498
400,0.9,28,0.27,0.37302
400,1,0,0,0.3405
400,1,4,0.03,0.60534
400,1,8,0.06,0.63673
400,1,12,0.09,0.61567
400,1,16,0.12,0.60557
400,1,20,0.15,0.54874
400,1,24,0.18,0.50681
400,1,28,0.21,0.45245
400,1,28,0.3,0.35416
400,1,32,0.24,0.38784
400,1,36,0.27,0.34245
400,1,40,0.3,0.28588
400,1,44,0.33,0.26312
400,1.1,0,0,0.2961
400,1.1,28,0.33,0.36208
